metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,1000,0,0.010998022711155556,0.010441756284862842,0.010652158589519758,0.011350720398808876,0.00034928090464455934
loss,delta_rec,1000,0,0.013245074788522071,0.0076052897969109065,0.012209954335527247,0.014368158075437995,0.001079101869955374
loss,delta_int,1000,0,0.08098140939104265,0.05318824911415801,0.07168125746649917,0.09064932778995476,0.009484035161727793
loss,total,1000,0,0.10522450689072026,0.0776058727203402,0.0950754561866881,0.11560579424087614,0.010265169027094019
Lambda,delta_prop,1000,0,0.047117413401768206,0.035490686936088756,0.04459925646784727,0.049864113526384715,0.0026324285292687218
Lambda,delta_rec,1000,0,0.0,0.0,0.0,0.0,0.0
Lambda,delta_int,1000,0,0.0,0.0,0.0,0.0,0.0
Lambda,total,1000,0,0.047117413401768206,0.035490686936088756,0.04459925646784727,0.049864113526384715,0.0026324285292687218
T_rec,delta_prop,1000,0,2.0,0.0,1.74,2.26,0.2599999999999999
T_rec,delta_rec,1000,0,125.76,100.0,119.60975,132.3,6.345125000000003
T_rec,delta_int,441,559,20.77097505668934,20.0,18.276643990929706,23.197845804988667,2.4606009070294803
T_rec,total,441,559,88.54875283446712,70.0,82.33503401360544,95.01190476190476,6.338435374149661
lock_in,delta_prop,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_int,1000,0,0.559,1.0,0.527,0.59,0.03149999999999997
lock_in,total,1000,0,0.559,1.0,0.527,0.59,0.03149999999999997
