metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,1000,0,0.007208374526404964,0.006315791630927655,0.0069150523093351604,0.007501432319787698,0.00029319000522626867
loss,delta_rec,1000,0,0.019107657351131464,0.010819963369529749,0.017801731968268,0.02045267988019548,0.0013254739559637393
loss,delta_int,1000,0,0.0018359091933088034,0.0013106158313484426,0.0017284307712734902,0.0019439293645861532,0.00010774929665633153
loss,total,1000,0,0.028151941070845232,0.019916380908586495,0.0265627931513227,0.029781319740124587,0.0016092632944009443
Lambda,delta_prop,1000,0,0.036398847240225275,0.02955543653337811,0.03446291851619515,0.038498592075262246,0.0020178367795335474
Lambda,delta_rec,1000,0,-9.755168617342491e-12,0.0,-3.866409045427676e-11,2.649582664382422e-13,1.9464524360357502e-11
Lambda,delta_int,1000,0,1.6787014278651925e-11,0.0,-1.4639923281989375e-11,7.13198782795188e-11,4.297990078075409e-11
Lambda,total,1000,0,0.03639884724725712,0.02955543653337811,0.03446291852961409,0.03849859207970103,0.002017836775043469
T_rec,delta_prop,999,1,0.09009009009009009,0.0,0.03003003003003003,0.16016016016016016,0.06506506506506507
T_rec,delta_rec,996,4,264.6184738955823,190.0,250.57203815261045,278.90562248995985,14.166792168674704
T_rec,delta_int,996,4,2.640562248995984,0.0,1.9779116465863453,3.4139056224899607,0.7179969879518077
T_rec,total,996,4,267.34939759036143,200.0,253.14031124497993,281.8175200803213,14.33860441767068
lock_in,delta_prop,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,1000,0,0.003,0.0,0.0,0.007,0.0035
lock_in,delta_int,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,total,1000,0,0.003,0.0,0.0,0.007,0.0035
